mismatch,condition,avg_wall_time_sec
matched,V0_no_context,1.6768773396809895e-05
matched,V2_ocr_only,2.376238505045573e-05
matched,V3_visual_caption_only,4.402796427408854e-05
matched,V4_ocr_plus_visual,3.6557515462239586e-05
matched,V5_naive_all_visual,3.925959269205729e-05
matched,V6_policy_visual,0.1293643315633138
matched,V7_oracle_supporting,2.1775563557942707e-05
matched,V8_wrong_visual,2.3285547892252605e-05
negative_visual,V5_naive_all_visual,3.66369883219401e-05
negative_visual,V6_policy_visual,0.1350862979888916
negative_visual,V8_wrong_visual,3.337860107421875e-05
