id	cond	chrf	term_recall	al
el_51	none	75.3	0.67	1.72
el_51	slide	33.8	0.33	0.50
el_51	oracle	85.7	0.83	1.79
el_51	wrong	33.8	0.33	0.50
el_42	none	83.4	0.75	3.40
el_42	slide	4.6	0.00	0.50
el_42	oracle	4.6	0.00	0.50
el_42	wrong	4.6	0.00	0.50
el_136	none	57.1	1.00	2.92
el_136	slide	59.0	1.00	2.69
el_136	oracle	42.5	1.00	0.91
el_136	wrong	6.9	0.00	0.38
el_117	none	80.7	0.80	1.96
el_117	slide	80.7	0.80	1.62
el_117	oracle	80.7	0.80	1.62
el_117	wrong	16.1	0.00	0.25
el_111	none	49.4	0.60	1.64
el_111	slide	49.4	0.60	1.64
el_111	oracle	56.2	0.60	2.08
el_111	wrong	31.2	0.20	1.00
el_114	none	75.2	1.00	2.34
el_114	slide	75.2	1.00	2.34
el_114	oracle	14.5	0.00	-0.12
el_114	wrong	75.2	1.00	2.34
el_37	none	46.3	0.20	1.96
el_37	slide	46.3	0.20	2.07
el_37	oracle	61.5	0.60	1.96
el_37	wrong	46.3	0.20	2.07
el_129	none	2.3	0.00	3.00
el_129	slide	5.8	0.00	-1.12
el_129	oracle	5.8	0.00	-1.12
el_129	wrong	42.1	0.50	1.67
el_133	none	37.9	0.17	-1.27
el_133	slide	35.6	0.17	-2.35
el_133	oracle	61.2	0.50	-0.74
el_133	wrong	27.9	0.17	-3.12
el_11	none	44.0	0.50	1.04
el_11	slide	43.8	0.67	0.65
el_11	oracle	54.5	1.00	0.38
el_11	wrong	50.0	0.67	3.00
el_38	none	54.8	0.60	1.50
el_38	slide	53.9	0.60	1.43
el_38	oracle	61.7	0.80	1.38
el_38	wrong	46.3	0.40	-0.11
el_9	none	11.6	0.00	1.19
el_9	slide	12.5	0.50	0.00
el_9	oracle	40.5	0.00	1.77
el_9	wrong	45.6	0.50	2.04
el_89	none	7.5	0.00	0.25
el_89	slide	7.5	0.00	0.25
el_89	oracle	56.9	0.80	2.93
el_89	wrong	56.9	0.80	2.93
el_103	none	51.6	0.75	2.11
el_103	slide	51.6	0.75	2.11
el_103	oracle	58.3	1.00	1.69
el_103	wrong	51.6	0.75	2.06
el_41	none	79.0	0.80	2.58
el_41	slide	68.4	0.80	1.93
el_41	oracle	79.0	0.80	1.98
el_41	wrong	79.0	0.80	2.58
el_71	none	44.9	0.33	-0.18
el_71	slide	44.9	0.33	-0.18
el_71	oracle	20.2	0.17	-1.42
el_71	wrong	44.9	0.33	-0.82
el_44	none	48.8	0.75	1.11
el_44	slide	48.8	0.75	1.11
el_44	oracle	48.8	0.75	1.26
el_44	wrong	48.8	0.75	0.96
el_66	none	2.1	0.00	-1.00
el_66	slide	2.1	0.00	-1.00
el_66	oracle	80.8	1.00	1.60
el_66	wrong	2.1	0.00	-1.00
el_109	none	5.8	0.00	1.00
el_109	slide	5.8	0.00	1.00
el_109	oracle	11.7	0.00	1.33
el_109	wrong	34.6	0.50	1.60
el_112	none	74.2	1.00	1.87
el_112	slide	74.2	1.00	1.87
el_112	oracle	90.7	1.00	2.14
el_112	wrong	74.2	1.00	1.87
el_69	none	26.8	0.20	-0.62
el_69	slide	38.9	0.20	-0.30
el_69	oracle	19.8	0.20	-0.83
el_69	wrong	26.8	0.20	-0.62
el_12	none	69.6	1.00	3.06
el_12	slide	22.1	0.17	-5.38
el_12	oracle	69.6	1.00	1.58
el_12	wrong	49.2	0.50	-1.11
el_73	none	31.7	0.33	-2.65
el_73	slide	39.7	0.33	-2.29
el_73	oracle	74.8	0.83	2.22
el_73	wrong	43.0	0.50	-2.62
el_57	none	20.2	0.00	2.80
el_57	slide	27.0	0.20	1.89
